,comp_name,comp_rating,comp_reviews,comp_type,location,salaries
1034,Incheon Motors,4.7 (1k),1k,Automobile , Kochi +16 other locations,1k
1035,GVPR Engineers,3.8 (1k),1k,Engineering & Construction , Hyderabad +94 other locations,1k
1036,Temenos,3.1 (1k),1k,Software Product , Chennai +11 other locations,1k
1037,Lemon Tree Hotels,4.0 (1k),1k,Hospitality , New Delhi +79 other locations,1k
1038,QX Global Group,3.1 (1k),1k,BPO , Ahmedabad +19 other locations,1k
1039,SitusAMC,3.2 (1k),1k,Financial Services , Bengaluru +18 other locations,1k
1040,MakeMyTrip,3.5 (1k),1k,Internet , Gurugram +46 other locations,1k
1041,Atlas Copco,4.1 (1k),1k,Industrial Machinery , Pune +59 other locations,1k
1042,Perfetti Van Melle,4.2 (1k),1k,FMCG , Gurugram +161 other locations,1k
1043,Hitachi Payment Services,3.6 (1k),1k,FinTech , Mumbai +87 other locations,1k
1044,Visionet Systems,3.4 (1k),1k,IT Services & Consulting , Bengaluru +17 other locations,1k
1045,Innodata India Private Limited,3.5 (1k),1k,IT Services & Consulting , Noida +24 other locations,1k
1046,Tata Cummins,4.4 (1k),1k,Auto Components , Jamshedpur +44 other locations,1k
1047,TradeIndia (Infocom Network Private Limited),3.4 (1k),1k,Internet , New Delhi +42 other locations,1k
1048,eClinicalWorks,3.5 (1k),1k,Software Product , Mumbai +20 other locations,1k
1049,Fortrea Development India Private Limited,3.9 (1k),1k,Clinical Research , Bengaluru +11 other locations,1k
1050,Secure Meters,3.9 (1k),1k,Electronics Manufacturing , Udaipur +73 other locations,1k
1051,Syrma SGS Technologies,4.0 (999),999,Electronics Manufacturing , Chennai +23 other locations,999
1052,Thomas Cook,4.0 (998),998,Travel & Tourism , Mumbai +81 other locations,998
1053,Bounteous x Accolite,3.2 (999),999,IT Services & Consulting , Bengaluru +15 other locations,999
1054,United Breweries,3.3 (997),997,Beverage , Bengaluru +105 other locations,997
1055,AstraZeneca,3.9 (997),997,Pharma , Chennai +49 other locations,997
1056,Westside,3.8 (996),996,Retail , Mumbai +108 other locations,996
1057,Colgate Palmolive,4.0 (995),995,FMCG , Mumbai +120 other locations,995
1058,Škoda Auto Volkswagen,4.0 (995),995,Automobile , Pune +48 other locations,995
1059,Comviva Technology,2.9 (993),993,Software Product , Gurugram +19 other locations,993
1060,CarDekho Group,3.6 (992),992,Internet , Gurugram +82 other locations,992
1061,Cult.fit,3.6 (991),991,Fitness & Wellness , Bengaluru +41 other locations,991
1062,Amazon Web Services,3.8 (990),990,IT Services & Consulting , Bengaluru +63 other locations,990
1063,MasterCard,3.8 (992),992,FinTech , Pune +15 other locations,992
1064,Pristyn Care,3.2 (990),990,Internet , Gurugram +33 other locations,990
1065,Vaco Binary Semantics,3.1 (990),990,IT Services & Consulting , Gurugram +49 other locations,990
1066,JW Marriott,4.2 (989),989,Hospitality , Mumbai +42 other locations,989
1067,Mastek,3.6 (989),989,IT Services & Consulting , Mumbai +23 other locations,989
1068,Collins Aerospace,3.8 (989),989,Defence & Aerospace , Bengaluru +11 other locations,989
1069,Star Cement,4.1 (987),987,Building Material , Guwahati +80 other locations,987
1070,Siemens Energy,4.1 (985),985,Power , Pune +49 other locations,985
1071,Rebel Foods,3.7 (985),985,Hospitality , Mumbai +80 other locations,985
1072,Arohan Financial Services,3.9 (983),983,NBFC , Kolkata +235 other locations,983
1073,Mahindra Automotives,3.8 (980),980,Automobile , Pune +131 other locations,980
1074,Xebia,3.0 (983),983,IT Services & Consulting , Gurugram +23 other locations,983
1075,Everest Industries,3.8 (981),981,Building Material , Mumbai +97 other locations,981
1076,Aparajitha Corporate Services,3.8 (981),981,Legal , Madurai +98 other locations,981
1077,Pizza Hut,4.0 (980),980,Hospitality , New Delhi +130 other locations,980
1078,C&S Electric,3.9 (979),979,Electrical Equipment , Noida +58 other locations,979
1079,Softenger,4.0 (978),978,IT Services & Consulting , Pune +32 other locations,978
1080,Tiger Analytics,3.7 (975),975,IT Services & Consulting , Bengaluru +17 other locations,975
1081,Capacit'e Infraprojects,3.7 (973),973,Engineering & Construction , Mumbai +35 other locations,973
1082,Merino Industries,3.8 (971),971,Building Material , New Delhi +82 other locations,971
1083,Altisource,3.4 (971),971,Real Estate , Bengaluru +9 other locations,971
1084,Natco Pharma,4.0 (970),970,Pharma , Hyderabad +65 other locations,970
1085,Lumina Datamatics,3.2 (970),970,IT Services & Consulting , Mumbai +20 other locations,970
1086,Barclays Global Service Centre,3.9 (970),970,IT Services & Consulting , Pune +13 other locations,970
1087,VIP Industries,3.7 (969),969,Retail , Mumbai +96 other locations,969
1088,J B Chemicals And Pharmaceuticals,3.9 (967),967,Pharma , Mumbai +94 other locations,967
1089,Wonder Cement,4.2 (967),967,Building Material , Nimbahera +110 other locations,967
1090,TechnipFMC,3.9 (967),967,Engineering & Construction , Hyderabad +43 other locations,967
1091,Napino Auto & Electronics,3.8 (967),967,Auto Components , Gurugram +25 other locations,967
1092,Entain,3.6 (968),968,IT Services & Consulting , Hyderabad +13 other locations,968
1093,Kendriya Vidyalaya Sangathan,4.3 (966),966,Education & Training , New Delhi +234 other locations,966
1094,JSW Group,3.8 (966),966,Iron & Steel , Mumbai +97 other locations,966
1095,Quantiphi Analytics Solutions Private Limited,3.1 (966),966,IT Services & Consulting , Bengaluru +18 other locations,966
1096,Lowe's,4.1 (965),965,Retail , Bengaluru +9 other locations,965
1097,Hiranandani Financial Services,4.4 (965),965,NBFC , Mumbai +135 other locations,965
1098,General Mills,4.1 (964),964,Food Processing , Mumbai +54 other locations,964
1099,Yokohama Off-Highway Tires,3.6 (963),963,Auto Components , Bharuch +38 other locations,963
1100,BDR Pharmaceuticals International,4.1 (972),972,Pharma , Vadodara +30 other locations,972
1101,Pricol,3.9 (962),962,Auto Components , Coimbatore +34 other locations,962
1102,Technip Energies,4.1 (962),962,Engineering & Construction , Noida +41 other locations,962
1103,LOREAL,3.8 (961),961,Beauty & Personal Care , Mumbai +100 other locations,961
1104,Financial Software & Systems,3.6 (960),960,Software Product , Chennai +34 other locations,960
1105,Gannon Dunkerley & Co.,3.4 (958),958,Engineering & Construction , Kolkata +82 other locations,958
1106,Nasser S. Al Hajri Corporation,3.6 (958),958,Engineering & Construction , Chennai +55 other locations,958
1107,Jyothy Labs,4.1 (958),958,FMCG , Mumbai +195 other locations,958
1108,Marsh McLennan,3.8 (956),956,Management Consulting , Mumbai +24 other locations,956
1109,National Payments Corporation of India,4.0 (955),955,FinTech , Mumbai +11 other locations,955
1110,VeeTechnologies,3.9 (954),954,IT Services & Consulting , Bengaluru +39 other locations,954
1111,Guidehouse,3.6 (953),953,Management Consulting , Chennai +19 other locations,953
1112,Shriram General Insurance,3.6 (954),954,Insurance , Jaipur +201 other locations,954
1113,Birla Opus,4.0 (963),963,Chemicals , Mumbai +266 other locations,963
1114,Skipper,3.8 (969),969,Industrial Machinery , Kolkata +92 other locations,969
1115,Episource,3.9 (952),952,IT Services & Consulting , Chennai +20 other locations,952
1116,Salcomp Manufacturing,4.0 (954),954,Electronics Manufacturing , Chennai +27 other locations,954
1117,Defence Research & Development Organisation,4.5 (950),950,Defence & Aerospace , Hyderabad +57 other locations,950
1118,Astral Adhesives,3.9 (950),950,Chemicals , Ahmedabad +162 other locations,950
1119,Mando Automotive,4.0 (950),950,Auto Components , Chennai +21 other locations,950
1120,Petrofac,4.2 (948),948,Oil & Gas , Chennai +42 other locations,948
1121,KEI Industries,4.2 (949),949,Electrical Equipment , New Delhi +103 other locations,949
1122,Jubilant Pharmova,3.7 (946),946,Pharma , Noida +61 other locations,946
1123,Pramerica Life Insurance,3.6 (943),943,Insurance , Gurugram +126 other locations,943
1124,Psp Projects,3.9 (942),942,Engineering & Construction , Ahmedabad +57 other locations,942
1125,ICCS,3.0 (943),943,BPO , Noida +31 other locations,943
1126,Amphenol Interconnect,4.2 (941),941,Electrical Equipment , Pune +19 other locations,941
1127,SFO Technologies,3.4 (939),939,Electronics Manufacturing , Bengaluru +17 other locations,939
1128,Reliance Power,4.1 (938),938,Power , Singrauli +43 other locations,938
1129,Adani Enterprises,3.7 (938),938,Metals & Mining , Ahmedabad +77 other locations,938
1130,Tikona Infinet,3.4 (938),938,Telecom , Mumbai +46 other locations,938
1131,Hathway,3.3 (938),938,Telecom , Mumbai +58 other locations,938
1132,Velocis Systems,3.8 (936),936,IT Services & Consulting , New Delhi +52 other locations,936
1133,Aristo Pharmaceuticals,4.0 (936),936,Pharma , Mumbai +108 other locations,936
1134,Motherson Sumi Wiring,3.7 (939),939,Electrical Equipment , Noida +43 other locations,939
1135,Signify,3.4 (934),934,Consumer Electronics & Appliances , Bengaluru +84 other locations,934
1136,Naukri,4.1 (934),934,Internet , Noida +72 other locations,934
1137,KMV Projects Limited,4.3 (932),932,Engineering & Construction , Hyderabad +72 other locations,932
1138,FLSmidth,3.6 (933),933,Industrial Machinery , Chennai +25 other locations,933
1139,Timken,3.9 (932),932,Industrial Machinery , Jamshedpur +44 other locations,932
1140,Navayuga Engineering Company,3.9 (931),931,Engineering & Construction , Hyderabad +74 other locations,931
1141,Cohance Lifesciences,3.8 (930),930,Pharma , Hyderabad +25 other locations,930
1142,Knight Frank,4.1 (929),929,Real Estate , Mumbai +51 other locations,929
1143,Jaro Education,3.1 (929),929,Education & Training , Mumbai +24 other locations,929
1144,Aircel,4.4 (929),929,Telecom , New Delhi +114 other locations,929
1145,Xceedance,3.5 (929),929,IT Services & Consulting , Gurugram +14 other locations,929
1146,Bhanzu,3.8 (928),928,EdTech , Bengaluru +14 other locations,928
1147,Godfrey Phillips India,4.0 (926),926,FMCG , New Delhi +125 other locations,926
1148,Bayer,4.1 (924),924,Pharma , Bengaluru +115 other locations,924
1149,Test Yantra Software Solutions,3.0 (923),923,IT Services & Consulting , Bengaluru +19 other locations,923
1150,Tafe Motors & Tractors,3.9 (920),920,Industrial Machinery , Bhopal +72 other locations,920
1151,Apotex Research,3.8 (919),919,Pharma , Bengaluru +14 other locations,919
1152,Volvo,4.0 (915),915,Automobile , Bengaluru +39 other locations,915
1153,Sundaram Clayton,3.9 (916),916,Auto Components , Chennai +30 other locations,916
1154,CIEL HR,3.9 (915),915,Recruitment , Bengaluru +110 other locations,915
1155,GE Healthcare,3.9 (914),914,Medical Equipment , Bengaluru +36 other locations,914
1156,Sandhar Technologies,3.7 (914),914,Auto Components , Gurugram +31 other locations,914
1157,Deepak Fertilisers and Petrochemicals,4.1 (913),913,Chemicals , Mumbai +58 other locations,913
1158,Nityo Infotech,3.3 (913),913,IT Services & Consulting , Bengaluru +32 other locations,913
1159,Medha Servo Drives,4.2 (912),912,Electrical Equipment , Hyderabad +54 other locations,912
1160,Netscribes,2.7 (912),912,Analytics & KPO , Kolkata +17 other locations,912
1161,Nirma,4.2 (910),910,FMCG , Bhavnagar +67 other locations,910
1162,Neel Metal Products,4.0 (908),908,Auto Components , Gurugram +38 other locations,908
1163,HomeLane,3.3 (908),908,Architecture & Interior Design , Bengaluru +36 other locations,908
1164,Experis IT,3.0 (908),908,Recruitment , Bengaluru +34 other locations,908
1165,Medhaj Techno Concept,3.9 (906),906,Management Consulting , Lucknow +151 other locations,906
1166,Steag Energy Services,4.3 (907),907,Power , Jharsuguda +62 other locations,907
1167,OCS Group,4.1 (907),907,Facility Management Services , Mumbai +58 other locations,907
1168,SKH Metals,4.0 (906),906,Auto Components , Gurugram +26 other locations,906
1169,Intellipaat Software Solutions,3.9 (906),906,EdTech , Bengaluru +17 other locations,906
1170,Target,4.0 (904),904,Retail , Bengaluru +17 other locations,904
1171,Egis India Consulting Engineers,4.2 (905),905,Engineering & Construction , Gurugram +111 other locations,905
1172,Schlumberger,3.8 (904),904,Oil & Gas , Pune +37 other locations,904
1173,Aviva Life Insurance India,3.5 (903),903,Insurance , Gurugram +121 other locations,903
1174,LanceSoft,3.2 (904),904,Recruitment , Hyderabad +29 other locations,904
1175,Yashoda Hospitals,3.9 (902),902,Healthcare , Hyderabad +30 other locations,902
1176,HT Media,3.1 (901),901,Media & Entertainment , New Delhi +43 other locations,901
1177,JSW Paints,3.8 (901),901,Chemicals , Mumbai +170 other locations,901
1178,Alok Industries,3.5 (899),899,Fashion & Textile , Dadra & Nagar Haveli +34 other locations,899
1179,Re Sustainability Limited,3.8 (898),898,Waste Management , Hyderabad +84 other locations,898
1180,Bosch Chassis Systems,4.1 (898),898,Auto Components , Pune +25 other locations,898
1181,"Commonwealth Bank of Australia, India",2.8 (897),897,Financial Services , Bengaluru +15 other locations,897
1182,Ashirvad Pipes,3.8 (896),896,Building Material , Bengaluru +107 other locations,896
1183,Volkswagen,4.2 (895),895,Automobile , Pune +103 other locations,895
1184,Michelin,3.7 (893),893,Auto Components , Pune +47 other locations,893
1185,AJIO,3.6 (894),894,Internet , Bengaluru +199 other locations,894
1186,Regulated Council of Immigration Consultants,4.9 (891),891,Other , Dubai +5 other locations,891
1187,Musashi Auto Parts,3.8 (891),891,Auto Components , Rewari +26 other locations,891
1188,Orient Electric,3.7 (891),891,Consumer Electronics & Appliances , New Delhi +87 other locations,891
1189,Vedanta Resources,3.7 (890),890,Metals & Mining , Jharsuguda +73 other locations,890
1190,Updater Services,3.7 (890),890,Facility Management Services , Chennai +101 other locations,890
1191,Vijay Sales,4.1 (889),889,Retail , Mumbai +51 other locations,889
1192,BGR Energy Systems,3.8 (888),888,Engineering & Construction , Chennai +54 other locations,888
1193,Tata Chemicals,3.9 (883),883,Chemicals , Jamnagar +85 other locations,883
1194,TNQ Tech Private Limited,3.5 (882),882,Printing & Publishing , Chennai +13 other locations,882
1195,Marks & Spencer,3.9 (882),882,Retail , New Delhi +60 other locations,882
1196,Sona Comstar,4.0 (882),882,Auto Components , Gurugram +26 other locations,882
1197,FastInfo,4.1 (882),882,Internet , Kolkata +8 other locations,882
1198,Greenlam Industries,4.1 (880),880,Furniture & Furnishing , New Delhi +115 other locations,880
1199,ACL Digital,3.6 (879),879,IT Services & Consulting , Bengaluru +27 other locations,879
1200,MAS Financial Services,3.7 (879),879,NBFC , Ahmedabad +143 other locations,879
1201,RAMTeCH Software Solutions,3.7 (879),879,IT Services & Consulting , Hyderabad +35 other locations,879
1202,M3M India,4.0 (878),878,Real Estate , Gurugram +11 other locations,878
1203,Wakefit,4.0 (881),881,Furniture & Furnishing , Bengaluru +58 other locations,881
1204,Carborundum Universal Limited,3.7 (877),877,Industrial Machinery , Chennai +132 other locations,877
1205,Centum Electronics,3.5 (873),873,Electronics Manufacturing , Bengaluru +18 other locations,873
1206,C.R.I. Pumps,3.9 (872),872,Industrial Machinery , Coimbatore +70 other locations,872
1207,Athena BPO,3.3 (869),869,BPO , Mumbai +38 other locations,869
1208,Tata Starbucks,4.1 (868),868,Hospitality , Mumbai +58 other locations,868
1209,H&M,3.8 (868),868,Fashion & Textile , Bengaluru +56 other locations,868
1210,Next Education India,3.2 (867),867,EdTech , Hyderabad +94 other locations,867
1211,Apar Industries,4.1 (868),868,Semiconductors , Mumbai +72 other locations,868
1212,WSP,4.2 (867),867,Management Consulting , Bengaluru +32 other locations,867
1213,Acme Cleantech Solutions,4.0 (867),867,Power , Gurugram +101 other locations,867
1214,Magna International,3.8 (867),867,Auto Components , Pune +22 other locations,867
1215,Zudio,3.9 (868),868,Retail , New Delhi +139 other locations,868
1216,National Health Mission,3.4 (866),866,Healthcare , Guwahati +282 other locations,866
1217,Future Focus Infotech,3.4 (864),864,IT Services & Consulting , Bengaluru +58 other locations,864
1218,Satya MicroCapital,3.7 (865),865,NBFC , New Delhi +187 other locations,865
1219,Torry Harris Integration Solutions,4.2 (863),863,IT Services & Consulting , Bengaluru +10 other locations,863
1220,Parekh Integrated Services,4.1 (862),862,Logistics , Mumbai +75 other locations,862
1221,Bechtel,3.9 (862),862,Engineering & Construction , Gurugram +31 other locations,862
1222,Ageas Federal Life Insurance,3.5 (862),862,Insurance , Mumbai +124 other locations,862
1223,Nibav Lifts,4.0 (862),862,Industrial Machinery , Chennai +41 other locations,862
1224,Epsilon,3.6 (860),860,Marketing & Advertising , Bengaluru +16 other locations,860
1225,Shilpa Medicare,3.5 (861),861,Pharma , Hyderabad +30 other locations,861
1226,IDEMIA,3.8 (861),861,Electronics Manufacturing , Noida +52 other locations,861
1227,Silaris Informations,3.0 (862),862,BPO , New Delhi +22 other locations,862
1228,Panacea Biotec,3.6 (861),861,Biotechnology , Baddi +72 other locations,861
1229,Wipro PARI,3.2 (858),858,Industrial Automation , Pune +28 other locations,858
1230,Precision Infomatic M Pvt Ltd,3.8 (858),858,IT Services & Consulting , Chennai +91 other locations,858
1231,Ups Logistics,3.6 (856),856,Logistics , Pune +37 other locations,856
1232,Truhome Finance,3.7 (856),856,Financial Services , Mumbai +160 other locations,856
1233,MOURI Tech,3.6 (854),854,IT Services & Consulting , Hyderabad +10 other locations,854
1234,Nlb Services,3.6 (853),853,Recruitment , Noida +21 other locations,853
1235,Parag Milk Foods,4.0 (854),854,Food Processing , Mumbai +91 other locations,854
1236,Fedbank Financial Services,4.0 (854),854,NBFC , Mumbai +164 other locations,854
1237,Ather Energy,4.1 (853),853,Automobile , Bengaluru +70 other locations,853
1238,Tata Hitachi Construction Machinery,4.0 (853),853,Industrial Machinery , Kharagpur +76 other locations,853
1239,LEAD School,3.2 (852),852,EdTech , Mumbai +103 other locations,852
1240,Jaya Hind Industries,3.7 (850),850,Auto Components , Pune +37 other locations,850
1241,Porter,3.5 (849),849,Internet , Bengaluru +32 other locations,849
1242,Serco,4.2 (850),850,Analytics & KPO , Mumbai +41 other locations,850
1243,Alorica,3.1 (850),850,BPO , Bengaluru +15 other locations,850
1244,Rico Auto Industries,3.8 (849),849,Auto Components , Gurugram +32 other locations,849
1245,India Shelter Finance Corporation,3.9 (848),848,NBFC , Gurugram +183 other locations,848
1246,Swaraj Tractors,4.0 (848),848,Automobile , Sahibzada Ajit Singh Nagar +106 other locations,848
1247,Mahindra First Choice Wheels,3.8 (848),848,Internet , Mumbai +118 other locations,848
1248,Bank of India,3.9 (847),847,Banking , Mumbai +187 other locations,847
1249,Impact Infotech Pvt. Ltd.,3.4 (847),847,IT Services & Consulting , Mumbai +77 other locations,847
1250,Rohan Builders,4.1 (847),847,Real Estate , Pune +69 other locations,847
1251,Shaktiman Tirth Agro Technology,3.9 (847),847,Industrial Machinery , Rajkot +66 other locations,847
1252,Tata Power Solar,4.1 (844),844,Power , Bengaluru +91 other locations,844
1253,KGISL,3.0 (843),843,IT Services & Consulting , Coimbatore +21 other locations,843
1254,Casagrand,3.8 (840),840,Real Estate , Chennai +19 other locations,840
1255,enGen Global,3.9 (841),841,IT Services & Consulting , Chennai +6 other locations,841
1256,Mahindra Tractors,4.1 (841),841,Automobile , Nagpur +129 other locations,841
1257,Nexdigm,3.7 (840),840,Management Consulting , Pune +13 other locations,840
1258,Clarivate,3.7 (839),839,Analytics & KPO , Bengaluru +17 other locations,839
1259,Sanden Vikas,3.9 (838),838,Auto Components , Faridabad +33 other locations,838
1260,Duck Creek Technologies,4.5 (837),837,Software Product , Mumbai +9 other locations,837
1261,Guardian India,3.8 (836),836,Insurance , Chennai +13 other locations,836
1262,AuthBridge Research Services,3.2 (834),834,IT Services & Consulting , Gurugram +21 other locations,834
1263,Union Bank of India,3.8 (835),835,Banking , Mumbai +151 other locations,835
1264,Fareportal,3.1 (835),835,Internet , Gurugram +14 other locations,835
1265,Royal Sundaram General Insurance,3.8 (834),834,Insurance , Chennai +105 other locations,834
1266,Arvind Lifestyle Brands,4.0 (835),835,Fashion & Textile , Bengaluru +87 other locations,835
1267,Consolidated Contractors,4.3 (835),835,Engineering & Construction , Mumbai +56 other locations,835
1268,HP India,3.8 (834),834,Consumer Electronics & Appliances , Bengaluru +63 other locations,834
1269,Victora Auto Private Limited,4.0 (832),832,Auto Components , Faridabad +31 other locations,832
1270,Metso,4.1 (833),833,Metals & Mining , Alwar +47 other locations,833
1271,Sutherland Healthcare Solutions,3.7 (831),831,Analytics & KPO , Hyderabad +14 other locations,831
1272,FIITJEE,3.2 (831),831,Education & Training , New Delhi +48 other locations,831
1273,Feedback Infrastructure Services,3.4 (830),830,Engineering & Construction , Gurugram +128 other locations,830
1274,IBS Software Services,3.5 (827),827,Software Product , Kochi +19 other locations,827
1275,Lumen Technologies,4.0 (827),827,Hardware & Networking , Bengaluru +14 other locations,827
1276,Greaves Cotton,4.0 (826),826,Auto Components , Chhatrapati Sambhajinagar +49 other locations,826
1277,Ford Business Solutions,4.1 (824),824,IT Services & Consulting , Chennai +52 other locations,824
1278,Medusind Solutions,3.4 (824),824,IT Services & Consulting , Chennai +11 other locations,824
1279,UKG,3.0 (824),824,Software Product , Noida +12 other locations,824
1280,Eris Lifesciences,3.6 (824),824,Pharma , Ahmedabad +91 other locations,824
1281,Punj Lloyd,3.9 (823),823,Engineering & Construction , Gurugram +70 other locations,823
1282,Luxoft,3.6 (823),823,IT Services & Consulting , Bengaluru +23 other locations,823
1283,Forever Living Products,4.3 (821),821,Fitness & Wellness , Mumbai +98 other locations,821
1284,Rockwell Automation,3.7 (821),821,Industrial Automation , Pune +22 other locations,821
1285,Freshworks,3.4 (821),821,Software Product , Chennai +48 other locations,821
1286,Ramco Systems,3.8 (820),820,Software Product , Chennai +29 other locations,820
1287,Poly Medicure,3.5 (820),820,Medical Equipment , Faridabad +46 other locations,820
1288,Teamware Solutions,4.2 (820),820,Recruitment , Hyderabad +24 other locations,820
1289,Baxter International,3.8 (821),821,Healthcare , Bengaluru +32 other locations,821
1290,Bpo Convergence,3.4 (817),817,BPO , Hyderabad +39 other locations,817
1291,Artech Infosystems,3.3 (817),817,Recruitment , Bengaluru +21 other locations,817
1292,RR kabel,4.1 (814),814,Electrical Equipment , Vadodara +116 other locations,814
1293,Rodic Consultants,4.2 (814),814,Engineering & Construction , Patna +135 other locations,814
1294,Y-Axis Overseas Careers,4.2 (812),812,Other , Hyderabad +17 other locations,812
1295,eTeam,3.2 (813),813,Recruitment , Bengaluru +19 other locations,813
1296,Integra Software Services,3.7 (813),813,IT Services & Consulting , Puducherry +19 other locations,813
1297,Sunbeam Auto,3.9 (812),812,Auto Components , Gurugram +30 other locations,812
1298,Huhtamaki,4.0 (812),812,Packaging , Mumbai +44 other locations,812
1299,Qinecsa Solutions,2.7 (812),812,Clinical Research , Mysuru +18 other locations,812
1300,DBG Technology,3.7 (812),812,Electronics Manufacturing , Rewari +25 other locations,812
1301,Five-Star Business Finance,4.1 (811),811,NBFC , Chennai +248 other locations,811
1302,BDO,3.2 (810),810,Accounting & Auditing , Mumbai +34 other locations,810
1303,Rashmi Group,3.5 (811),811,Iron & Steel , Kharagpur +31 other locations,811
1304,Advik Hi Tech,3.7 (807),807,Auto Components , Pune +30 other locations,807
1305,Zydus Healthcare,4.0 (808),808,Pharma , Mumbai +108 other locations,808
1306,Linde India,3.9 (806),806,Chemicals , Vadodara +56 other locations,806
1307,K Raheja Corp,4.2 (803),803,Real Estate , Mumbai +17 other locations,803
1308,Syneos Health,3.7 (804),804,Clinical Research , Gurugram +17 other locations,804
1309,Vijaya Diagnostic Centre,3.8 (802),802,Healthcare , Hyderabad +40 other locations,802
1310,Principal Global Services,3.6 (803),803,Insurance , Pune +11 other locations,803
1311,Bill Gosling Outsourcing India,3.5 (802),802,Gurugram +13 other locations,,802
1312,JK Paper,3.9 (801),801,Pulp & Paper , Rayagada +52 other locations,801
1313,Investors Clinic,3.6 (801),801,Real Estate , Noida +34 other locations,801
1314,Prama Hikvision India,3.6 (800),800,Electronics Manufacturing , Mumbai +56 other locations,800
1315,Eveready Industries,3.9 (800),800,Consumer Electronics & Appliances , Kolkata +110 other locations,800
1316,Border Security Force,4.4 (800),800,Law Enforcement & Security , New Delhi +112 other locations,800
1317,Praj Industries,4.0 (799),799,Biotechnology , Pune +46 other locations,799
1318,Hitachi,3.9 (799),799,Industrial Machinery , Bengaluru +86 other locations,799
1319,Qualitest,3.6 (798),798,IT Services & Consulting , Bengaluru +22 other locations,798
1320,Intex Technologies,3.7 (798),798,Consumer Electronics & Appliances , New Delhi +77 other locations,798
1321,Waaree Energies,4.0 (798),798,Power , Surat +55 other locations,798
1322,Fluor Corporation,4.1 (797),797,Engineering & Construction , Gurugram +24 other locations,797
1323,PUMA,4.1 (796),796,Fashion & Textile , Bengaluru +100 other locations,796
1324,Zidio Development,4.4 (795),795,IT Services & Consulting , Bengaluru +35 other locations,795
1325,IFFCO,4.1 (793),793,Agro Chemicals , New Delhi +117 other locations,793
1326,Chennai Radha Engineering Works,3.9 (792),792,Engineering & Construction , Chennai +58 other locations,792
1327,Prince Pipes & Fittings,4.2 (792),792,Building Material , Mumbai +84 other locations,792
1328,Wipro Consumer Care & Lighting,3.7 (792),792,FMCG , Bengaluru +119 other locations,792
1329,Shivalik Small Finance Bank,4.1 (791),791,Banking , Noida +43 other locations,791
1330,THE LEELA PALACES HOTELS & RESORTS,4.0 (791),791,Hospitality , New Delhi +33 other locations,791
1331,Amber Enterprises India,3.9 (791),791,Electronics Manufacturing , Gurugram +44 other locations,791
1332,RenewBuy,3.3 (791),791,Internet , Gurugram +107 other locations,791
1333,Vastu Housing Finance,4.2 (792),792,NBFC , Mumbai +173 other locations,792
1334,Zuventus Healthcare,3.9 (790),790,Pharma , Mumbai +99 other locations,790
1335,Franklin Templeton Investments,3.9 (789),789,Financial Services , Hyderabad +33 other locations,789
1336,Credence Resource Management,3.0 (789),789,BPO , Pune +9 other locations,789
1337,Novac Technology Solutions,3.6 (789),789,Software Product , Chennai +24 other locations,789
1338,Reliance BP Mobility,3.6 (788),788,Oil & Gas , Mumbai +104 other locations,788
1339,Cigniti Technologies,3.8 (787),787,IT Services & Consulting , Hyderabad +9 other locations,787
1340,Reliance BP Mobility,3.6 (788),788,Oil & Gas , Mumbai +104 other locations,788
1341,Rallis India,4.0 (787),787,Agro Chemicals , Ankleshwar +119 other locations,787
1342,Indo Autotech,3.9 (787),787,Auto Components , Faridabad +34 other locations,787
1343,Skill Lync,3.1 (786),786,EdTech , Chennai +17 other locations,786
1344,Maveric Systems,3.3 (786),786,IT Services & Consulting , Chennai +11 other locations,786
1345,Aequs,3.4 (786),786,Defence & Aerospace , Belagavi +13 other locations,786
1346,Dineshchandra R. Agrawal Infracon,4.0 (787),787,Engineering & Construction , Ahmedabad +82 other locations,787
1347,AISIN,4.1 (785),785,Auto Components , Rohtak +28 other locations,785
1348,Microtek International,3.7 (785),785,Consumer Electronics & Appliances , New Delhi +119 other locations,785
1349,Nippon Koei India,4.8 (784),784,Engineering & Construction , New Delhi +70 other locations,784
1350,Jai Balaji Group,3.2 (783),783,Iron & Steel , Durgapur +41 other locations,783
1351,Ramkrishna Forgings,3.4 (783),783,Auto Components , Jamshedpur +28 other locations,783
1352,Travel Food Services Ltd,4.1 (783),783,Hospitality , Mumbai +36 other locations,783
1353,Edubridge Learning,3.9 (783),783,EdTech , Mumbai +63 other locations,783
1354,Careernet,3.6 (782),782,Recruitment , Bengaluru +24 other locations,782
1355,NTT,3.8 (781),781,IT Services & Consulting , Mumbai +43 other locations,781
1356,Progressive Infotech,3.3 (781),781,IT Services & Consulting , Noida +68 other locations,781
1357,Somany Ceramics,4.2 (781),781,Building Material , New Delhi +87 other locations,781
1358,Simplilearn,3.3 (780),780,EdTech , Bengaluru +9 other locations,780
1359,Action Construction Equipment,3.7 (779),779,Industrial Machinery , Faridabad +60 other locations,779
1360,Pratap Technocrats,3.7 (779),779,Telecom , Ahmedabad +121 other locations,779
1361,Denave,3.5 (778),778,Marketing & Advertising , Noida +71 other locations,778
1362,Universal Sompo General Insurance,4.4 (778),778,Insurance , Mumbai +124 other locations,778
1363,Ugro Capital,3.7 (779),779,NBFC , Mumbai +167 other locations,779
