,comp_name,comp_rating,comp_reviews,comp_type,location,salaries
619,Vardhman Fabrics,4.0 (1.6k),1.6k,Fashion & Textile , Baddi +65 other locations,1.6k
620,CG Power and Industrial Solutions,3.8 (1.6k),1.6k,Electrical Equipment , Bhopal +92 other locations,1.6k
621,Johnson & Johnson,3.9 (1.6k),1.6k,Healthcare , Mumbai +171 other locations,1.6k
622,Matrimony.com,3.9 (1.6k),1.6k,Internet , Chennai +64 other locations,1.6k
623,Clover Infotech,3.4 (1.6k),1.6k,IT Services & Consulting , Mumbai +23 other locations,1.6k
624,Tata 1mg,3.5 (1.6k),1.6k,Internet , Gurugram +62 other locations,1.6k
625,Tata Play,3.9 (1.6k),1.6k,Broadcasting , Mumbai +222 other locations,1.6k
626,Belrise Industries,3.7 (1.6k),1.6k,Auto Components , Pune +58 other locations,1.6k
627,Arvind Group,4.0 (1.6k),1.6k,Fashion & Textile , Ahmedabad +91 other locations,1.6k
628,Hero Motors Company,3.9 (1.6k),1.6k,Automobile , Ghaziabad +230 other locations,1.6k
629,Suryoday Small Finance Bank,4.0 (1.6k),1.6k,Banking , Mumbai +233 other locations,1.6k
630,Chegg,4.1 (1.6k),1.6k,EdTech , New Delhi +78 other locations,1.6k
631,ReNew,4.2 (1.6k),1.6k,Power , Gurugram +105 other locations,1.6k
632,Krishna Maruti,3.8 (1.6k),1.6k,Auto Components , Gurugram +51 other locations,1.6k
633,CMA CGM,4.0 (1.6k),1.6k,Ports & Shipping , Chennai +37 other locations,1.6k
634,Toyota Kirloskar Motor,4.3 (1.6k),1.6k,Automobile , Bengaluru +92 other locations,1.6k
635,HERE Technologies,3.8 (1.6k),1.6k,IT Services & Consulting , Mumbai +18 other locations,1.6k
636,Coronis Ajuba Solutions,3.9 (1.6k),1.6k,BPO , Chennai +31 other locations,1.6k
637,American Broadcasting Company,4.0 (1.6k),1.6k,Engineering & Construction , Bengaluru +100 other locations,1.6k
638,Dixon Technologies,3.9 (1.6k),1.6k,Electronics Manufacturing , Noida +46 other locations,1.6k
639,Godrej Industries Group,3.9 (1.6k),1.6k,Real Estate , Mumbai +149 other locations,1.6k
640,Satin Creditcare Network,3.9 (1.6k),1.6k,NBFC , Gurugram +330 other locations,1.6k
641,Marico,3.8 (1.6k),1.6k,FMCG , Mumbai +184 other locations,1.6k
642,Shriram Life Insurance,3.5 (1.6k),1.6k,Insurance , Hyderabad +328 other locations,1.6k
643,Welspun Living Limited,3.9 (1.6k),1.6k,Fashion & Textile , Anjar +86 other locations,1.6k
644,Goldman Sachs,3.4 (1.6k),1.6k,Financial Services , Bengaluru +23 other locations,1.6k
645,Emami,3.8 (1.6k),1.6k,FMCG , Kolkata +173 other locations,1.6k
646,PharmEasy,3.7 (1.6k),1.6k,Internet , Bengaluru +70 other locations,1.6k
647,Veritas Finance,4.3 (1.6k),1.6k,NBFC , Chennai +298 other locations,1.6k
648,Teva Pharmaceuticals,3.9 (1.6k),1.6k,Pharma , Bengaluru +52 other locations,1.6k
649,ZF Commercial Vehicle Control Systems,3.8 (1.6k),1.6k,Auto Components , Chennai +48 other locations,1.6k
650,Wockhardt,3.8 (1.6k),1.6k,Pharma , Chhatrapati Sambhajinagar +85 other locations,1.6k
651,iOPEX Technologies,3.1 (1.6k),1.6k,IT Services & Consulting , Chennai +16 other locations,1.6k
652,Honda,4.1 (1.6k),1.6k,Automobile , Gurugram +228 other locations,1.6k
653,Supreme Industries,4.1 (1.6k),1.6k,Petrochemicals , Gwalior +124 other locations,1.6k
654,Sanofi,4.0 (1.6k),1.6k,Pharma , Hyderabad +92 other locations,1.6k
655,Urban Company,3.3 (1.6k),1.6k,Internet , Gurugram +60 other locations,1.6k
656,KFC,4.0 (1.6k),1.6k,Hospitality , New Delhi +174 other locations,1.6k
657,Asahi India Glass,3.8 (1.6k),1.6k,Auto Components , Chennai +89 other locations,1.6k
658,Mercer,3.6 (1.6k),1.6k,Management Consulting , New Delhi +17 other locations,1.6k
659,Relaxo Footwear,4.0 (1.5k),1.5k,Fashion & Textile , New Delhi +161 other locations,1.5k
660,IFB,3.6 (1.5k),1.5k,Consumer Electronics & Appliances , Bengaluru +177 other locations,1.5k
661,Cemindia Projects,4.2 (1.5k),1.5k,Engineering & Construction , Kolkata +88 other locations,1.5k
662,Broadridge Financial Solutions,3.8 (1.5k),1.5k,FinTech , Hyderabad +14 other locations,1.5k
663,Amul India,4.0 (1.5k),1.5k,Food Processing , Ahmedabad +207 other locations,1.5k
664,IndiaFirst Life Insurance,3.8 (1.5k),1.5k,Insurance , Mumbai +247 other locations,1.5k
665,Marriott International,4.1 (1.5k),1.5k,Hospitality , Bengaluru +90 other locations,1.5k
666,Bajaj Capital,3.6 (1.5k),1.5k,Financial Services , New Delhi +173 other locations,1.5k
667,Suguna Foods,3.9 (1.5k),1.5k,Food Processing , Coimbatore +207 other locations,1.5k
668,Gujarat Fluorochemicals,3.9 (1.5k),1.5k,Chemicals , Bharuch +32 other locations,1.5k
669,Kotak Mahindra Prime,3.9 (1.5k),1.5k,NBFC , Mumbai +176 other locations,1.5k
670,Dainik Bhaskar Group,4.1 (1.5k),1.5k,Printing & Publishing , Bhopal +138 other locations,1.5k
671,Nayara Energy,4.2 (1.5k),1.5k,Oil & Gas , Jamnagar +99 other locations,1.5k
672,Bisleri,4.2 (1.5k),1.5k,Beverage , Mumbai +181 other locations,1.5k
673,Muthoot Microfin,4.2 (1.5k),1.5k,NBFC , Kochi +413 other locations,1.5k
674,Lumax Industries,3.9 (1.5k),1.5k,Auto Components , Gurugram +41 other locations,1.5k
675,Tesco,3.5 (1.5k),1.5k,Retail , Bengaluru +17 other locations,1.5k
